## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/data4/bfennessy/project/raw_fastq/capture_targets_interval_list] TARGET_INTERVALS=[/data4/bfennessy/project/raw_fastq/primary_targets_interval_list] INPUT=HN72_N.sorted.dedup.RG.bam OUTPUT=HN72_N_hs.metrics.txt REFERENCE_SEQUENCE=/data4/bfennessy/project/raw_fastq/hg19/hg19.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false COVERAGE_CAP=200 SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 25 19:29:21 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
capture_targets_interval_list	64190747	0.990251	1949498712	1481209616	13299483468	0.205061	0.794939	0.56825	30.370401	0.115171	0.085277	5.694905	374265775	29.498492	30.323019	31.1819	32.12667	33.188247	40.279172	63564965	3137161264	174402874	174402874	16926985452	171210004	169439275	16730191796	16426415003	1443481790	1	0.981693	0.989658	22.708764	18	2921	0.030132	0.018157	0	0.054131	0.00499	0.100314	0.736137	2.523196	0.944789	0.931483	0.798397	0.437152	0.196477	0.098656	0.059733	0.018229	0.710507	8.194314	0.91812	11			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	3509513	0
1	845752	0
2	637509	0
3	641242	0
4	722129	0
5	869966	103362
6	1063580	138913
7	1277874	1002243
8	1508987	734476
9	1738346	388693
10	1950335	539535
11	2132019	246781
12	2276897	204123
13	2378257	370982
14	2440756	202841
15	2458665	659211
16	2435883	703616
17	2384833	839111
18	2303397	1869740
19	2201445	964926
20	2084857	1789987
21	1963188	705937
22	1835943	1255349
23	1709314	2398606
24	1577787	3238499
25	1453472	4343473
26	1328970	5429532
27	1216337	6452007
28	1113398	4180503
29	1015240	11264448
30	925101	15400275
31	836293	27766407
32	761105	22987927
33	693722	44405204
34	631014	117258549
35	571979	177887595
36	517461	55997576
37	468783	128262948
38	425850	64974140
39	386683	145296314
40	354024	176425222
41	325450	401631097
42	296970	0
43	272412	0
44	249767	0
45	228750	0
46	209270	0
47	193012	0
48	178713	0
49	165804	0
50	154043	0
51	144421	0
52	134595	0
53	125237	0
54	115875	0
55	108732	0
56	101836	0
57	95674	0
58	89390	0
59	84375	0
60	78067	0
61	74723	0
62	70122	0
63	66166	0
64	62418	0
65	59449	0
66	56937	0
67	53712	0
68	50899	0
69	48996	0
70	46501	0
71	44610	0
72	42556	0
73	40767	0
74	39216	0
75	37703	0
76	36101	0
77	35043	0
78	34094	0
79	32695	0
80	31748	0
81	30332	0
82	29117	0
83	27927	0
84	27082	0
85	26358	0
86	25715	0
87	24839	0
88	23955	0
89	23501	0
90	22644	0
91	21993	0
92	21361	0
93	20766	0
94	20406	0
95	20040	0
96	19367	0
97	18914	0
98	18702	0
99	18490	0
100	18105	0
101	17672	0
102	17055	0
103	16517	0
104	16086	0
105	15932	0
106	15744	0
107	15219	0
108	14969	0
109	14742	0
110	14195	0
111	14203	0
112	13883	0
113	13747	0
114	13509	0
115	13084	0
116	13433	0
117	12931	0
118	13066	0
119	13100	0
120	12305	0
121	12311	0
122	12076	0
123	11936	0
124	11749	0
125	11666	0
126	11183	0
127	11427	0
128	11149	0
129	11213	0
130	10882	0
131	11105	0
132	10888	0
133	10563	0
134	10760	0
135	10667	0
136	10153	0
137	10372	0
138	10258	0
139	10110	0
140	10092	0
141	9823	0
142	9768	0
143	9709	0
144	9532	0
145	9338	0
146	9083	0
147	9085	0
148	8962	0
149	9035	0
150	8691	0
151	8672	0
152	8561	0
153	8662	0
154	8467	0
155	8195	0
156	8177	0
157	8151	0
158	8124	0
159	7953	0
160	8139	0
161	7896	0
162	7852	0
163	7406	0
164	7446	0
165	7345	0
166	7085	0
167	7002	0
168	6941	0
169	6797	0
170	6671	0
171	6664	0
172	6470	0
173	6360	0
174	6483	0
175	6281	0
176	6167	0
177	6180	0
178	6049	0
179	5929	0
180	5925	0
181	5581	0
182	5429	0
183	5390	0
184	5264	0
185	5259	0
186	5094	0
187	4969	0
188	4929	0
189	4790	0
190	4806	0
191	4589	0
192	4436	0
193	4333	0
194	4246	0
195	4266	0
196	4182	0
197	4011	0
198	3903	0
199	3840	0
200	228251	0

