## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/data4/bfennessy/project/raw_fastq/capture_targets_interval_list] TARGET_INTERVALS=[/data4/bfennessy/project/raw_fastq/primary_targets_interval_list] INPUT=HN72_T.sorted.dedup.RG.bam OUTPUT=HN72_T_hs.metrics.txt REFERENCE_SEQUENCE=/data4/bfennessy/project/raw_fastq/hg19/hg19.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false COVERAGE_CAP=200 SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 25 19:51:19 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
capture_targets_interval_list	64190747	0.990251	2842519991	2110167058	17706026221	0.218578	0.781422	0.573935	44.282395	0.124266	0.091603	6.13102	458256512	25.430039	25.955844	26.528386	27.112614	27.715536	31.585457	63564965	3137161264	235964496	235964496	22874518538	231021452	229309042	22658713270	22191512299	2095364412	1	0.979052	0.992588	32.96414	25	4037	0.028745	0.020619	0	0.054748	0.00591	0.099256	0.727002	2.354581	0.947526	0.935209	0.866955	0.656131	0.400964	0.230428	0.138928	0.033285	0.42883	9.033048	0.928675	11			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	3335493	0
1	782942	0
2	516828	0
3	444110	0
4	429038	0
5	458299	154711
6	505972	232241
7	569842	1649923
8	656458	1254851
9	757995	711214
10	873456	885065
11	991322	376035
12	1109088	325083
13	1221699	570596
14	1324443	342912
15	1428311	1119669
16	1521392	1171446
17	1589251	1412398
18	1649513	3215696
19	1692598	1693292
20	1715080	2997014
21	1719007	1251423
22	1718580	2210609
23	1698577	4128628
24	1673045	5535975
25	1640275	7491149
26	1592231	9594981
27	1544307	10923497
28	1487216	7299534
29	1431359	18911989
30	1365902	25569822
31	1302055	44733358
32	1236651	37073908
33	1170321	65484990
34	1107029	170433052
35	1045789	240318603
36	987408	82281762
37	929735	180785842
38	876283	102912328
39	818889	205161368
40	767821	257263463
41	720465	531303215
42	674927	0
43	631198	0
44	591624	0
45	553301	0
46	515851	0
47	484534	0
48	452761	0
49	423771	0
50	397637	0
51	373816	0
52	351799	0
53	329445	0
54	308885	0
55	289720	0
56	270377	0
57	254297	0
58	239000	0
59	225350	0
60	213250	0
61	200078	0
62	187913	0
63	177018	0
64	168270	0
65	159265	0
66	150271	0
67	142539	0
68	134105	0
69	126826	0
70	119965	0
71	114401	0
72	107948	0
73	103333	0
74	98506	0
75	94381	0
76	89668	0
77	85742	0
78	81563	0
79	77648	0
80	74292	0
81	70949	0
82	68341	0
83	65639	0
84	62885	0
85	60482	0
86	58203	0
87	56242	0
88	53569	0
89	51507	0
90	50026	0
91	47848	0
92	45420	0
93	43852	0
94	42401	0
95	40813	0
96	39591	0
97	37705	0
98	36578	0
99	35791	0
100	34561	0
101	33816	0
102	32947	0
103	31600	0
104	30779	0
105	29943	0
106	29074	0
107	27958	0
108	26781	0
109	25778	0
110	25326	0
111	24881	0
112	24050	0
113	23620	0
114	22826	0
115	22424	0
116	21965	0
117	21023	0
118	20452	0
119	19798	0
120	19804	0
121	18965	0
122	18491	0
123	17976	0
124	17531	0
125	17230	0
126	17201	0
127	16581	0
128	16548	0
129	16027	0
130	16078	0
131	15507	0
132	15540	0
133	14747	0
134	14543	0
135	14128	0
136	14174	0
137	13856	0
138	13618	0
139	13326	0
140	13182	0
141	13091	0
142	12695	0
143	12630	0
144	12511	0
145	12277	0
146	12033	0
147	11810	0
148	11639	0
149	11739	0
150	11514	0
151	11257	0
152	11167	0
153	10935	0
154	10872	0
155	10733	0
156	10829	0
157	10430	0
158	10478	0
159	10330	0
160	10419	0
161	10259	0
162	10065	0
163	9985	0
164	9870	0
165	9628	0
166	9711	0
167	9277	0
168	9531	0
169	9380	0
170	9348	0
171	9444	0
172	9202	0
173	9159	0
174	9087	0
175	8902	0
176	8723	0
177	8795	0
178	8610	0
179	8657	0
180	8638	0
181	8672	0
182	8627	0
183	8520	0
184	8337	0
185	8481	0
186	8364	0
187	8063	0
188	8021	0
189	7974	0
190	7789	0
191	7662	0
192	7626	0
193	7503	0
194	7320	0
195	7517	0
196	7324	0
197	7410	0
198	7227	0
199	7109	0
200	685912	0

