## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/data4/bfennessy/project/raw_fastq/capture_targets_interval_list] TARGET_INTERVALS=[/data4/bfennessy/project/raw_fastq/primary_targets_interval_list] INPUT=HN51_R.sorted.dedup.RG.bam OUTPUT=HN51_R_hs.metrics.txt REFERENCE_SEQUENCE=/data4/bfennessy/project/raw_fastq/hg19/hg19.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false COVERAGE_CAP=200 SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 25 17:17:00 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
capture_targets_interval_list	64190747	0.990251	11683403998	8364027799	3144183920	0.864426	0.135574	0.582788	182.010719	0.503384	0.365252	24.620836	392836951	5.692323	5.809002	5.943632	6.069287	6.223663	7.099657	63564965	3137161264	237673540	237673540	23209741148	210455225	210429450	23191615717	20566047978	8477401117	1	0.88548	0.999878	133.365937	112	6711	0.019894	0.113212	0	0.123966	0.010536	0.013654	0.373096	2.299413	0.970961	0.966269	0.947444	0.931077	0.911084	0.881166	0.839893	0.565505	0.001308	15.059932	0.964062	14			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1845840	0
1	298277	0
2	211183	0
3	178122	0
4	161659	0
5	146775	1362098
6	136216	1936438
7	127766	10038018
8	120107	9314277
9	114775	5355990
10	109965	6174158
11	109102	2724993
12	105026	2337127
13	101824	4300610
14	101686	2415960
15	101131	8036230
16	101923	7291795
17	101988	9412759
18	103353	21290121
19	104376	12780021
20	108024	19925847
21	110779	8622887
22	114989	15195963
23	119547	27131213
24	123921	37073574
25	128573	47132269
26	133474	61129039
27	137915	66626340
28	143376	45943652
29	150256	98667086
30	157677	145511253
31	164624	227051471
32	170836	178183598
33	178993	290138008
34	187358	567674943
35	194166	953634858
36	201503	417735633
37	207747	656961748
38	216290	494707261
39	222525	750299389
40	229793	904670892
41	236351	1301221959
42	244905	0
43	253418	0
44	260078	0
45	266916	0
46	273574	0
47	279867	0
48	286286	0
49	292318	0
50	298447	0
51	304251	0
52	308860	0
53	313846	0
54	318328	0
55	321745	0
56	326079	0
57	328826	0
58	330640	0
59	334491	0
60	337962	0
61	339143	0
62	342624	0
63	347157	0
64	349927	0
65	351984	0
66	353134	0
67	355777	0
68	355774	0
69	357144	0
70	359198	0
71	359709	0
72	359352	0
73	359106	0
74	360100	0
75	360841	0
76	360740	0
77	362097	0
78	362755	0
79	363130	0
80	361930	0
81	364202	0
82	362889	0
83	364894	0
84	364415	0
85	363395	0
86	363281	0
87	363745	0
88	363195	0
89	361956	0
90	359551	0
91	357805	0
92	356268	0
93	354913	0
94	354805	0
95	351947	0
96	349564	0
97	348510	0
98	345586	0
99	345437	0
100	342907	0
101	342047	0
102	339203	0
103	337376	0
104	335368	0
105	334371	0
106	333205	0
107	329121	0
108	328322	0
109	326766	0
110	324872	0
111	322359	0
112	319944	0
113	319017	0
114	316745	0
115	315361	0
116	313623	0
117	311231	0
118	308575	0
119	305974	0
120	304698	0
121	302407	0
122	299488	0
123	297536	0
124	295616	0
125	294540	0
126	292364	0
127	289595	0
128	287534	0
129	285619	0
130	284231	0
131	281576	0
132	280632	0
133	277349	0
134	276257	0
135	272645	0
136	270992	0
137	268194	0
138	266309	0
139	264368	0
140	262060	0
141	258965	0
142	257553	0
143	253959	0
144	251181	0
145	248936	0
146	246932	0
147	243465	0
148	242068	0
149	240202	0
150	238113	0
151	235380	0
152	234033	0
153	229946	0
154	228427	0
155	226499	0
156	224896	0
157	221569	0
158	219686	0
159	217881	0
160	216581	0
161	214964	0
162	213389	0
163	211537	0
164	210004	0
165	207493	0
166	205395	0
167	203184	0
168	201144	0
169	198457	0
170	196865	0
171	195583	0
172	193315	0
173	191346	0
174	189280	0
175	186137	0
176	184929	0
177	183233	0
178	181965	0
179	179651	0
180	178034	0
181	175947	0
182	174321	0
183	172584	0
184	170865	0
185	169353	0
186	167182	0
187	165732	0
188	164300	0
189	161512	0
190	159251	0
191	157884	0
192	156193	0
193	153990	0
194	152065	0
195	150668	0
196	148868	0
197	146209	0
198	145900	0
199	143850	0
200	11787089	0

