## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/data4/bfennessy/project/raw_fastq/capture_targets_interval_list] TARGET_INTERVALS=[/data4/bfennessy/project/raw_fastq/primary_targets_interval_list] INPUT=HN51_N.sorted.dedup.RG.bam OUTPUT=HN51_N_hs.metrics.txt REFERENCE_SEQUENCE=/data4/bfennessy/project/raw_fastq/hg19/hg19.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false COVERAGE_CAP=200 SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 25 17:13:00 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
capture_targets_interval_list	64190747	0.990251	12044387205	8396211898	3111612984	0.867884	0.132116	0.589238	187.634321	0.510967	0.363909	24.992944	358624542	4.859909	4.951199	5.060746	5.161165	5.279841	5.96634	63564965	3137161264	242213142	242213142	23571752236	211525054	211499012	23552212087	20605403418	8577968757	1	0.873301	0.999877	134.948061	120	6274	0.019816	0.125118	0	0.119949	0.011366	0.015871	0.363485	1.98453	0.970913	0.966424	0.94933	0.935642	0.921773	0.902688	0.874864	0.620842	0.001244	12.503034	0.964371	14			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1848910	0
1	285356	0
2	203089	0
3	163398	0
4	144916	0
5	131017	1592731
6	122573	2252004
7	112957	11435356
8	107132	10640355
9	101500	6144904
10	97430	7053701
11	93935	3041149
12	91091	2693539
13	88850	4807066
14	84748	2767726
15	84469	9328630
16	82517	8568857
17	82340	10756167
18	82786	24241312
19	81920	14426562
20	82697	22587113
21	82929	9837237
22	84175	17224356
23	84842	31168046
24	85742	42157250
25	87440	53577692
26	89405	69013281
27	91739	75496854
28	94661	51798246
29	97920	109942997
30	101688	164222148
31	104772	251563833
32	109136	197023352
33	113219	318900426
34	117735	603054910
35	121992	991648860
36	127814	434794765
37	133069	681452689
38	138822	525394871
39	144907	772506076
40	150646	931768505
41	156028	1286137115
42	162261	0
43	168247	0
44	174364	0
45	178899	0
46	184934	0
47	191193	0
48	198218	0
49	203818	0
50	211518	0
51	216314	0
52	224155	0
53	230325	0
54	235933	0
55	241899	0
56	249106	0
57	255514	0
58	261546	0
59	267122	0
60	273992	0
61	280484	0
62	285313	0
63	289249	0
64	295012	0
65	300288	0
66	305453	0
67	309999	0
68	314637	0
69	318300	0
70	323387	0
71	326169	0
72	329689	0
73	334671	0
74	338436	0
75	341625	0
76	344666	0
77	348275	0
78	351015	0
79	353527	0
80	355754	0
81	357398	0
82	358638	0
83	360794	0
84	362860	0
85	364213	0
86	366131	0
87	366829	0
88	370446	0
89	371786	0
90	373251	0
91	374876	0
92	373333	0
93	375083	0
94	376404	0
95	376324	0
96	376883	0
97	376746	0
98	375801	0
99	375763	0
100	376910	0
101	376465	0
102	376878	0
103	375614	0
104	375987	0
105	373429	0
106	372886	0
107	372342	0
108	371396	0
109	369557	0
110	369809	0
111	369108	0
112	366050	0
113	365240	0
114	362640	0
115	361346	0
116	360014	0
117	358325	0
118	358062	0
119	355370	0
120	354768	0
121	353633	0
122	350798	0
123	348923	0
124	347815	0
125	346286	0
126	343884	0
127	342348	0
128	341595	0
129	338393	0
130	337382	0
131	334288	0
132	331056	0
133	329328	0
134	327064	0
135	326931	0
136	323724	0
137	321976	0
138	319476	0
139	317462	0
140	314586	0
141	311633	0
142	308822	0
143	306853	0
144	303051	0
145	301195	0
146	298763	0
147	296296	0
148	294042	0
149	291997	0
150	289310	0
151	285919	0
152	283833	0
153	280871	0
154	278175	0
155	274716	0
156	272934	0
157	270384	0
158	267672	0
159	263912	0
160	261516	0
161	258701	0
162	256725	0
163	253602	0
164	251297	0
165	247562	0
166	243845	0
167	241838	0
168	239250	0
169	236220	0
170	232659	0
171	230417	0
172	228955	0
173	226588	0
174	224184	0
175	221986	0
176	219213	0
177	217061	0
178	214625	0
179	211246	0
180	209541	0
181	206590	0
182	204100	0
183	202201	0
184	199244	0
185	197498	0
186	195020	0
187	191967	0
188	189592	0
189	187367	0
190	184521	0
191	182028	0
192	179376	0
193	178101	0
194	174560	0
195	172480	0
196	170465	0
197	168560	0
198	166351	0
199	163521	0
200	11123692	0

